Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
261,0.2151,0.1858,0.2164,0.0481,0.2645,2.4908,-0.1511
262,0.2236,0.2162,0.2550,0.0479,0.3029,2.3817,-0.1523
263,0.2199,0.1848,0.2091,0.0472,0.2562,2.5550,-0.1704
264,0.2187,0.2194,0.2068,0.0474,0.2542,2.4937,-0.1547
265,0.2163,0.1802,0.2069,0.0480,0.2549,2.4085,-0.1136
266,0.2248,0.2063,0.2079,0.0491,0.2569,2.5018,-0.1631
267,0.2163,0.2232,0.1921,0.0479,0.2399,2.2889,-0.1450
268,0.2284,0.2219,0.2074,0.0645,0.2719,2.3045,-0.1426
269,0.2151,0.2396,0.1917,0.0640,0.2557,2.2957,-0.1547
270,0.2248,0.2211,0.2080,0.0479,0.2559,2.4497,-0.1535
271,0.2199,0.2392,0.1930,0.0469,0.2400,2.3362,-0.1366
272,0.2236,0.2383,0.2085,0.0469,0.2554,2.4965,-0.1643
273,0.2284,0.2175,0.2081,0.0476,0.2557,2.5943,-0.1511
274,0.2296,0.2224,0.2079,0.0486,0.2565,2.5364,-0.1462
275,0.2175,0.2168,0.2163,0.0476,0.2639,2.4916,-0.1607
276,0.2199,0.2553,0.2562,0.0476,0.3038,2.5937,-0.1353
277,0.2272,0.2481,0.2060,0.0485,0.2545,2.5443,-0.1825
278,0.2260,0.2299,0.1910,0.0642,0.2552,2.3139,-0.1329
279,0.2199,0.2185,0.2210,0.0479,0.2689,2.7207,-0.1764
280,0.2344,0.2268,0.2240,0.0726,0.2965,2.6190,-0.1559
281,0.2320,0.2311,0.2079,0.0640,0.2719,2.4309,-0.1583
282,0.2284,0.2432,0.2084,0.0480,0.2564,2.6716,-0.1414
283,0.2344,0.1997,0.2224,0.0480,0.2704,2.6180,-0.1498
284,0.2344,0.2103,0.2242,0.0324,0.2566,2.8347,-0.1317
285,0.2091,0.2290,0.1924,0.0659,0.2583,2.3559,-0.1402
286,0.2151,0.1863,0.2078,0.0547,0.2625,2.5784,-0.1378
287,0.2296,0.2106,0.2081,0.0479,0.2560,2.4760,-0.1680
288,0.2308,0.2326,0.2143,0.0483,0.2626,2.5675,-0.1668
289,0.2248,0.1813,0.2070,0.0401,0.2470,2.6026,-0.1643
290,0.2175,0.2337,0.2052,0.0475,0.2527,2.5770,-0.1704
291,0.2308,0.2425,0.1599,0.0481,0.2079,2.6211,-0.1559
292,0.2284,0.2544,0.2084,0.0471,0.2555,2.6178,-0.1498
293,0.2248,0.2384,0.2057,0.0486,0.2543,2.6085,-0.1486
294,0.2175,0.2408,0.1913,0.0634,0.2548,2.2404,-0.1764
295,0.2296,0.2149,0.2002,0.0483,0.2485,2.5157,-0.1003
296,0.2224,0.2260,0.2079,0.0392,0.2470,2.5045,-0.1631
297,0.2199,0.2386,0.1920,0.0484,0.2404,2.4003,-0.1535
298,0.2151,0.1917,0.1921,0.0576,0.2497,2.2964,-0.1160
299,0.2284,0.2085,0.2069,0.0490,0.2559,2.6479,-0.1631
300,0.2236,0.2244,0.2074,0.0485,0.2560,2.6797,-0.1535
301,0.2151,0.2224,0.2080,0.0469,0.2549,2.4337,-0.1643
302,0.2320,0.2096,0.2089,0.0569,0.2658,2.6969,-0.0967
303,0.2163,0.2204,0.2077,0.0645,0.2721,2.4619,-0.1631
304,0.2272,0.2005,0.2078,0.0640,0.2718,2.5722,-0.1245
305,0.2308,0.2451,0.2080,0.0323,0.2403,2.7461,-0.1728
306,0.2284,0.2044,0.2090,0.0571,0.2661,2.5023,-0.1607
307,0.2332,0.2487,0.2090,0.0475,0.2565,2.7294,-0.1015
308,0.2127,0.2027,0.1772,0.0585,0.2356,2.1347,-0.1366
309,0.2187,0.2773,0.2234,0.0321,0.2555,2.7673,-0.1873
310,0.2187,0.2385,0.2078,0.0321,0.2399,2.5995,-0.1353
311,0.2344,0.2329,0.2073,0.0488,0.2561,2.5536,-0.1619
312,0.2272,0.2142,0.2075,0.0490,0.2565,2.7026,-0.1221
313,0.2199,0.2214,0.1914,0.0633,0.2547,2.2665,-0.1680
314,0.2260,0.2106,0.2088,0.0311,0.2399,2.8809,-0.1450
315,0.2405,0.2264,0.2059,0.0325,0.2383,2.7312,-0.1825
316,0.2356,0.2336,0.2085,0.0314,0.2399,2.8370,-0.0846
317,0.2163,0.2308,0.1762,0.0634,0.2396,2.2060,-0.1801
318,0.2272,0.2336,0.2079,0.0320,0.2399,2.7040,-0.1873
319,0.2332,0.2307,0.1918,0.0486,0.2404,2.5190,-0.1535
320,0.2236,0.2226,0.1932,0.0629,0.2561,2.5773,-0.1559
321,0.2236,0.2473,0.1943,0.0453,0.2396,2.5152,-0.1716
322,0.2284,0.2412,0.2269,0.0454,0.2723,2.8762,-0.0955
323,0.2393,0.2423,0.2080,0.0321,0.2401,2.8295,-0.1740
324,0.2429,0.2069,0.2030,0.0318,0.2348,2.7027,-0.1595
325,0.2308,0.2519,0.1921,0.0475,0.2396,2.5647,-0.1692
326,0.2320,0.2396,0.2080,0.0316,0.2395,2.8410,-0.1511
327,0.2272,0.2439,0.1919,0.0650,0.2569,2.4216,-0.0955
328,0.2308,0.2275,0.2029,0.0478,0.2507,2.5512,-0.1595
329,0.2284,0.2357,0.2080,0.0160,0.2240,2.9313,-0.1656
330,0.2224,0.2116,0.1827,0.0577,0.2404,2.4428,-0.1329
331,0.2320,0.2775,0.1759,0.0810,0.2569,2.2344,-0.1184
332,0.2260,0.2567,0.2074,0.0475,0.2548,2.6503,-0.1595
