Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
307,0.5245,0.3931,0.2491,0.0643,0.3133,3.7592,-0.0943
308,0.3976,0.3430,0.2317,0.0627,0.2944,3.2101,-0.1027
309,0.4483,0.5400,0.2494,0.0622,0.3116,3.7231,-0.0967
310,0.4568,0.4727,0.2702,0.0635,0.3337,3.9518,-0.0520
311,0.3553,0.3786,0.1848,0.0514,0.2362,3.4299,-0.1076
312,0.4181,0.3603,0.2589,0.0307,0.2896,3.6805,-0.0979
313,0.3795,0.3225,0.2167,0.0617,0.2785,3.3052,-0.1015
314,0.3782,0.2936,0.2213,0.0932,0.3145,3.0883,-0.1015
315,0.3432,0.3325,0.2079,0.0933,0.3011,2.8502,-0.0931
316,0.4411,0.4603,0.2320,0.0817,0.3138,3.1999,-0.1051
317,0.3879,0.4065,0.2297,0.0947,0.3244,3.3003,-0.0967
318,0.4604,0.4133,0.2642,0.0306,0.2948,3.8909,-0.1003
319,0.3795,0.3338,0.1940,0.0835,0.2775,2.9576,-0.0906
320,0.4145,0.4593,0.2179,0.0611,0.2789,3.3591,-0.0870
321,0.4109,0.4207,0.2517,0.0589,0.3106,3.7161,-0.0568
322,0.3940,0.3686,0.2194,0.0933,0.3127,3.4105,-0.0991
323,0.3988,0.3912,0.2502,0.0635,0.3137,3.7479,-0.0894
324,0.4568,0.3323,0.2486,0.0607,0.3093,3.7284,-0.1076
325,0.4109,0.3759,0.2179,0.0820,0.2999,3.1723,-0.0858
326,0.3613,0.4991,0.2017,0.1092,0.3109,2.9430,-0.1003
327,0.4109,0.3393,0.2185,0.0628,0.2813,3.3624,-0.0882
328,0.4592,0.4677,0.2625,0.0624,0.3248,3.7430,-0.0846
329,0.4435,0.3316,0.2174,0.0627,0.2801,3.4495,-0.1051
330,0.4350,0.3904,0.2173,0.0619,0.2792,3.3628,-0.1015
331,0.3843,0.4132,0.2327,0.0922,0.3249,3.0719,-0.0931
332,0.3698,0.4533,0.2598,0.0616,0.3214,3.9134,-0.1015
333,0.4181,0.4695,0.2503,0.0619,0.3122,3.6501,-0.1063
334,0.4399,0.4743,0.2460,0.0480,0.2940,3.6516,-0.1039
335,0.4036,0.4111,0.2354,0.0927,0.3282,3.4765,-0.0906
336,0.4121,0.4687,0.1863,0.1076,0.2939,2.9014,-0.0918
337,0.3976,0.4157,0.2473,0.0616,0.3089,3.5309,-0.1051
338,0.3843,0.3945,0.2147,0.0622,0.2770,3.3450,-0.1076
339,0.3952,0.3947,0.2636,0.0623,0.3259,3.7570,-0.0991
340,0.4423,0.4285,0.2196,0.0602,0.2798,3.2441,-0.0943
341,0.4411,0.4532,0.2211,0.0933,0.3143,3.1798,-0.0580
342,0.4012,0.4137,0.2318,0.0929,0.3247,3.4512,-0.1112
343,0.3722,0.4746,0.2391,0.0624,0.3015,3.5824,-0.0677
344,0.4459,0.4646,0.2636,0.0628,0.3264,3.9420,-0.0918
345,0.4278,0.3643,0.2192,0.1000,0.3192,3.2774,-0.1063
346,0.4181,0.5365,0.2159,0.0784,0.2943,3.1181,-0.0991
347,0.2997,0.2995,0.2039,0.0902,0.2941,3.1343,-0.0931
348,0.4737,0.4584,0.2626,0.0622,0.3248,3.7454,-0.1051
349,0.3577,0.4288,0.1998,0.0615,0.2613,3.6811,-0.0798
350,0.3698,0.3574,0.2160,0.1104,0.3264,3.1100,-0.0991
